Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
GEO,Georgia,2022,11.647,12.69999981,17.983,83387742354.0,16.37175425637931,67.386,0.104889951,20.48812716
GEO,Georgia,2023,11.537,12.69999981,18.268,93154469864.0,15.862202858068965,67.639,0.080264033,20.80713286
GEO,Georgia,2024,11.48,12.69999981,18.601,104000000000.0,7.048335517241378,67.645,-0.429560043,20.80713286
IDN,Indonesia,2015,4.514,7.909999847,229.636,2630000000000.0,6.360400882,72.635,1.122339818,25.92905196
IDN,Indonesia,2016,4.301,7.980000019,249.161,2720000000000.0,3.529931023,72.214,1.0744882,25.33844621
IDN,Indonesia,2017,3.783,8.239589691,257.126,2860000000000.0,3.807144344,72.568,1.022329398,25.4651945
IDN,Indonesia,2018,4.387,8.159999847,273.576,3070000000000.0,3.291214196,73.386,0.96974341,25.71888297
IDN,Indonesia,2019,3.59,8.360000134,291.354,3270000000000.0,2.822032566,73.923,0.935604959,26.0232796
IDN,Indonesia,2020,4.255,8.56000042,464.741,3220000000000.0,2.031456552,73.071,0.849801187,25.31631784
IDN,Indonesia,2021,3.827,8.6972232,467.594,3530000000000.0,1.560902521,71.708,0.704601322,25.64603144
IDN,Indonesia,2022,3.462,8.6972232,518.788,3980000000000.0,4.138643247,72.972,0.74605047,25.48018675
IDN,Indonesia,2023,3.308,8.6972232,953.028,4330000000000.0,3.7125,72.982,0.842666137,25.74478339
IDN,Indonesia,2024,3.3,8.6972232,992.634,4660000000000.0,2.29963,72.914,0.813871513,25.74478339
IND,India,2015,7.631,5.690312004,220.692,7200000000000.0,4.908147522,60.529,1.192855634,26.95184379
IND,India,2016,7.601,5.787889957,214.053,7800000000000.0,4.524796153,60.419,1.191629664,27.23803047
IND,India,2017,7.618,6.013944864,227.096,8350000000000.0,3.587185881,60.312,1.162396143,27.47683636
IND,India,2018,7.652,6.239999771,230.864,9230000000000.0,3.413580244,60.195,1.097299067,27.73498745
IND,India,2019,6.51,6.281380177,236.992,9930000000000.0,4.769295057,60.066,1.040013951,27.45969374
IND,India,2020,7.859,6.489999771,234.036,9770000000000.0,6.164539649,59.196,0.973438647,26.06757753
