Country Code,Country Name,Year,Mean Years of Schooling,Minimum Wage,Unemployment Rate,,,
TJK,Tajikistan,2022,11.27094825,,11.634,,,
TJK,Tajikistan,2023,11.27094825,,11.546,,,
TJK,Tajikistan,2024,,,11.635,,, 
TKM,Turkmenistan,2015,10.82452965,343.705,4.016,,,
TKM,Turkmenistan,2016,10.8880372,382.825,4.031,,,
TKM,Turkmenistan,2017,10.95154476,412.146,4.044,,,
TKM,Turkmenistan,2018,11.01505232,443.457,4.044,,,
TKM,Turkmenistan,2019,11.07855988,513.526,4.043,,,
TKM,Turkmenistan,2020,11.14299353,583.742,4.501,,,
TKM,Turkmenistan,2021,11.20780193,608.719,4.459,,,
TKM,Turkmenistan,2022,11.20780193,,4.109,,,
TKM,Turkmenistan,2023,11.20780193,,4.099,,,
TKM,Turkmenistan,2024,,,4.304,,,
TLS,Timor-Leste,2015,5.275200049,250.33,3.678,,,
TLS,Timor-Leste,2016,5.260240078,274.594,4.657,,,
TLS,Timor-Leste,2017,5.44069493,298.065,4.248,,,
TLS,Timor-Leste,2018,5.627340364,286.026,3.778,,,
TLS,Timor-Leste,2019,5.820388753,276.574,3.097,,,
TLS,Timor-Leste,2020,6.020059751,266.989,2.782,,,
TLS,Timor-Leste,2021,6.226580551,258.11,2.344,,,
TLS,Timor-Leste,2022,6.226580551,260.516,1.537,,,
TLS,Timor-Leste,2023,6.226580551,250.174,1.521,,,
TLS,Timor-Leste,2024,,252.348,1.603,,,
UZB,Uzbekistan,2015,11.35999966,105.15,5.15,,,
UZB,Uzbekistan,2016,11.67000008,101.354,5.16,,,
UZB,Uzbekistan,2017,11.72000027,98.441,5.83,,,
UZB,Uzbekistan,2018,11.77000046,93.254,5.389,,,
UZB,Uzbekistan,2019,11.89999962,288.786,4.932,,,
UZB,Uzbekistan,2020,11.88999987,287.981,5.293,,,
UZB,Uzbekistan,2021,11.88000011,282.806,5.364,,,
UZB,Uzbekistan,2022,11.90999985,306.742,4.49,,,
UZB,Uzbekistan,2023,11.90999985,331.491,4.46,,,
UZB,Uzbekistan,2024,,311.296,4.488,,,
VNM,Vietnam,2015,8.04,340,1.848,,,
VNM,Vietnam,2016,8.123,389.3,1.848,,,
VNM,Vietnam,2017,8.205,415.5,1.874,,,
VNM,Vietnam,2018,8.288,436.6,1.161,,,
VNM,Vietnam,2019,8.37,459.3,1.681,,,
VNM,Vietnam,2020,8.455,481.9,2.103,,,
VNM,Vietnam,2021,8.455,489.3,2.385,,,
VNM,Vietnam,2022,8.455,543,1.523,,,
VNM,Vietnam,2023,,657.8,1.645,,,
VNM,Vietnam,2024,,692.7,1.431,,,
